name,amount,price,description
Cake - Cake Sheet Macaroon,7,81.54,Tadorna tadorna
Huck White Towels,76,97.5,Panthera pardus
"Lemonade - Island Tea, 591 Ml",66,82.89,Rhea americana
Capicola - Hot,52,66.64,Acrantophis madagascariensis
Cup - Paper 10oz 92959,96,86.04,Marmota caligata
Cup - Paper 10oz 92959,21,53.51,Hymenolaimus malacorhynchus
"Wine - Red, Metus Rose",66,10.82,Threskionis aethiopicus
Pork Salted Bellies,63,58.16,Butorides striatus
Nantucket - 518ml,100,43.83,Lamprotornis superbus
Tomatoes - Orange,91,89.7,Genetta genetta
Juice - Orange,84,33.84,Lamprotornis sp.
Muffin Chocolate Individual Wrap,32,3.75,Loris tardigratus
Pork - Caul Fat,70,10.33,Stenella coeruleoalba
Wine - Delicato Merlot,39,63.6,Odocoileus hemionus
Monkfish - Fresh,16,40.68,Sula dactylatra
Beer - Muskoka Cream Ale,86,47.27,Fregata magnificans
Cheese - Ermite Bleu,61,99.29,Hippotragus equinus
"Yogurt - Raspberry, 175 Gr",66,95.06,Macropus eugenii
Dc Hikiage Hira Huba,16,81.83,Carduelis pinus
Tomatillo,75,85.89,Tragelaphus scriptus
Filter - Coffee,91,25.6,Tursiops truncatus
Cake - Pancake,84,37.07,Nyctanassa violacea
Wine - Remy Pannier Rose,7,74.39,Sarcorhamphus papa
Blueberries - Frozen,96,74.56,Macropus agilis
Sauce - Sesame Thai Dressing,71,25.0,Bucorvus leadbeateri
Bagel - 12 Grain Preslice,45,49.53,Felis silvestris lybica
Fuji Apples,14,97.08,Ceryle rudis
"Water - Spring Water, 355 Ml",53,80.57,Bos taurus
"Pork - Back, Short Cut, Boneless",44,4.86,Otaria flavescens
Peas Snow,35,84.77,Ephippiorhynchus mycteria
Cheese - Taleggio D.o.p.,53,92.17,Tauraco porphyrelophus
Fiddlehead - Frozen,91,99.76,Castor canadensis
Nantuket Peach Orange,28,89.91,Hystrix cristata
Cheese - Ermite Bleu,5,79.84,Spermophilus parryii
"Shrimp, Dried, Small / Lb",100,49.78,Terathopius ecaudatus
"Bag - Bread, White, Plain",93,41.04,Pseudocheirus peregrinus
Shrimp - 31/40,30,32.74,Semnopithecus entellus
Dates,56,13.49,Petaurus breviceps
Pastry - Banana Tea Loaf,45,88.31,Felis silvestris lybica
"Rum - White, Gg White",55,9.04,Bassariscus astutus
Huck White Towels,38,6.33,unavailable
Melon - Honey Dew,98,67.76,Macropus giganteus
Wine - Magnotta - Bel Paese White,10,89.13,Galago crassicaudataus
Wine - Riesling Alsace Ac 2001,51,5.35,Bradypus tridactylus
"Asparagus - White, Canned",69,21.48,Alectura lathami
"Juice - Clamato, 341 Ml",49,69.04,Colobus guerza
Fruit Mix - Light,39,85.53,Haematopus ater
Cotton Wet Mop 16 Oz,49,73.78,Tamiasciurus hudsonicus
Lamb Tenderloin Nz Fr,74,20.03,Bos taurus
Toothpick Frilled,18,24.83,Rhea americana
Ecolab - Hobart Washarm End Cap,2,87.3,Butorides striatus
"Salsify, Organic",50,11.89,Diomedea irrorata
"Napkin - Dinner, White",61,26.38,Gabianus pacificus
Duck - Whole,23,37.6,Rhea americana
Wine - Prosecco Valdobienne,38,77.26,Vulpes vulpes
"Veal - Insides, Grains",89,36.97,Manouria emys
Barramundi,59,52.53,Pelecans onocratalus
Tea - Decaf Lipton,76,1.47,Catharacta skua
Chinese Foods - Cantonese,86,87.34,Loris tardigratus
"Chocolate - Milk, Callets",69,33.38,unavailable
"Juice - Apple, 341 Ml",86,53.64,Ursus americanus
Chocolate - Feathers,35,55.52,Sitta canadensis
Wine - Sauvignon Blanc,52,57.89,Neophron percnopterus
Ecolab - Ster Bac,37,9.67,Phascogale calura
Coffee Guatemala Dark,43,92.35,Sula nebouxii
Syrup - Monin - Passion Fruit,89,84.1,Phalaropus fulicarius
"Yogurt - Blueberry, 175 Gr",20,22.55,Gyps bengalensis
Wine - Marlbourough Sauv Blanc,65,53.45,Pelecanus conspicillatus
Tea Leaves - Oolong,36,39.26,Equus burchelli
Cranberries - Frozen,49,74.39,Chionis alba
"Tabasco Sauce, 2 Oz",85,19.16,Meles meles
Temperature Recording Station,49,10.0,Grus rubicundus
Cake - French Pear Tart,5,56.78,Bassariscus astutus
Venison - Ground,23,10.92,Amblyrhynchus cristatus
Sherry - Dry,85,95.31,Hystrix cristata
Beef Wellington,34,17.76,Dendrohyrax brucel
"Rum - Cream, Amarula",85,6.09,Alligator mississippiensis
Appetizer - Assorted Box,53,35.02,Neotis denhami
Trueblue - Blueberry,26,6.51,Papio cynocephalus
"Bread - Bagels, Mini",86,81.58,Vombatus ursinus
Containter - 3oz Microwave Rect.,64,85.84,Canis lupus
"Turkey - Whole, Fresh",60,18.31,Marmota caligata
Sambuca - Opal Nera,53,75.93,Gorilla gorilla
Sugar - Fine,91,51.62,Zosterops pallidus
Dragon Fruit,1,12.19,Francolinus swainsonii
"Quail - Whole, Boneless",84,90.06,Stenella coeruleoalba
Lettuce - Spring Mix,87,71.88,Tachyglossus aculeatus
Dill Weed - Fresh,55,89.25,Crotalus cerastes
Muffin Hinge - 211n,75,41.98,Hyaena brunnea
"Beans - Turtle, Black, Dry",100,24.51,Pytilia melba
"Salmon - Atlantic, Skin On",1,49.43,Felis wiedi or Leopardus weidi
Salmon Steak - Cohoe 8 Oz,50,94.06,Alopex lagopus
Salt - Table,40,61.47,Tyto novaehollandiae
Cookie Trail Mix,61,63.4,Paradoxurus hermaphroditus
Pastry - Key Limepoppy Seed Tea,88,37.79,Cebus apella
Tofu - Firm,21,40.91,Merops sp.
"Veal - Tenderloin, Untrimmed",57,90.59,Ictonyx striatus
Cocoa Butter,8,59.47,Felis libyca
Sugar - Individual Portions,17,24.92,Pelecans onocratalus
Onions - Green,54,5.77,Francolinus coqui
"Syrup - Monin, Amaretta",30,67.61,Pytilia melba
Beef - Flank Steak,67,89.75,Notechis semmiannulatus
Coriander - Ground,60,89.71,Bos taurus
Wine - Gato Negro Cabernet,85,94.77,Rhea americana
Butter Ripple - Phillips,49,98.89,Aonyx cinerea
"Wine - Niagara,vqa Reisling",96,14.52,Mazama americana
Wine - Port Late Bottled Vintage,42,84.33,Coluber constrictor foxii
Grenadillo,46,70.04,Plocepasser mahali
Cucumber - Pickling Ontario,51,85.84,unavailable
Seedlings - Clamshell,35,68.89,Trichoglossus haematodus moluccanus
"Yogurt - Peach, 175 Gr",74,96.85,Haliaeetus leucoryphus
Shrimp - Black Tiger 13/15,36,70.85,Anas punctata
Wine - Chardonnay South,27,33.89,Tauraco porphyrelophus
Cookie Dough - Peanut Butter,27,96.72,Tiliqua scincoides
Pasta - Canelloni,88,25.27,Cordylus giganteus
Cheese - Pied De Vents,86,3.12,Centrocercus urophasianus
"Nut - Hazelnut, Ground, Natural",71,40.51,unavailable
Fennel,39,77.49,Cervus canadensis
"Juice - Tomato, 48 Oz",40,12.42,Erethizon dorsatum
Filter - Coffee,78,48.04,Phoeniconaias minor
Eggplant - Regular,33,85.99,Nectarinia chalybea
Wine - Fontanafredda Barolo,66,90.9,Lepilemur rufescens
Sauce - Fish 25 Ozf Bottle,2,38.37,Phoca vitulina
Lid - 3oz Med Rec,66,28.85,Tapirus terrestris
Cream - 35%,51,3.42,Phalacrocorax albiventer
Pepper - Chili Powder,83,13.6,Francolinus swainsonii
Durian Fruit,48,69.1,Geospiza sp.
"Jam - Raspberry,jar",38,86.63,Macropus eugenii
Lamb Shoulder Boneless Nz,71,6.63,Macaca fuscata
Milk - Skim,2,91.55,Crotalus cerastes
Pastry - Banana Tea Loaf,41,44.12,Podargus strigoides
Vodka - Smirnoff,94,62.81,Cordylus giganteus
Appetizer - Lobster Phyllo Roll,66,15.73,Otaria flavescens
Bread Foccacia Whole,67,33.95,Aegypius tracheliotus
Muffin Puck Ww Carrot,26,42.47,Chauna torquata
Milk - 2%,25,17.05,Taxidea taxus
V8 - Vegetable Cocktail,27,2.81,Felis libyca
Appetizer - Smoked Salmon / Dill,97,87.13,Leptoptilus dubius
Vector Energy Bar,52,71.39,Bucephala clangula
Pur Value,98,9.71,Choloepus hoffmani
Paper Towel Touchless,14,15.19,Macropus agilis
Truffle Cups - White Paper,89,74.75,Macropus eugenii
Tomatoes - Hot House,95,23.15,Cathartes aura
Maple Syrup,44,54.1,Rhabdomys pumilio
Flax Seed,10,41.02,Lemur catta
Canadian Emmenthal,90,29.5,Merops nubicus
Extract - Rum,81,76.61,Anastomus oscitans
"Beans - Kidney, Red Dry",44,70.83,Procyon cancrivorus
Yukon Jack,66,86.76,Callorhinus ursinus
Tomatoes - Roma,52,23.41,Ephipplorhynchus senegalensis
"Salt - Rock, Course",66,8.77,Tamiasciurus hudsonicus
Bread - Sour Batard,55,13.44,Bugeranus caruncalatus
Marjoram - Fresh,30,10.9,Choloepus hoffmani
Soup Campbells Mexicali Tortilla,76,49.97,Macaca mulatta
Dill Weed - Fresh,81,77.52,Felis chaus
Pizza Pizza Dough,98,70.04,Pelecans onocratalus
"Bread - Dark Rye, Loaf",27,54.19,Porphyrio porphyrio
Venison - Denver Leg Boneless,19,89.01,Centrocercus urophasianus
Sour Puss - Tangerine,55,12.57,Aepyceros mylampus
Table Cloth 53x69 White,2,25.01,Perameles nasuta
"Wine - White, Pinot Grigio",74,80.28,Gopherus agassizii
Sprouts Dikon,19,5.02,Agkistrodon piscivorus
Beer - Blue Light,48,28.48,Dusicyon thous
Bread - Triangle White,55,96.96,Dicrostonyx groenlandicus
"Basil - Dry, Rubbed",8,98.59,Equus hemionus
Cheese - Cream Cheese,90,75.41,Cervus elaphus
Stock - Fish,16,16.86,Panthera leo
"Stock - Veal, Brown",28,76.78,Cordylus giganteus
Appetizer - Smoked Salmon / Dill,59,72.05,Ovis canadensis
Syrup - Monin - Blue Curacao,77,36.49,Genetta genetta
"Sauce - Soya, Light",78,93.94,Oxybelis sp.
"Cheese - Mozzarella, Shredded",46,68.1,Bison bison
Eggplant Oriental,78,64.76,Libellula quadrimaculata
Muffin - Carrot Individual Wrap,2,29.73,Geococcyx californianus
Ecolab - Solid Fusion,71,19.5,Geococcyx californianus
"Chocolate - Pistoles, Lactee, Milk",56,90.86,Mirounga angustirostris
Appetizer - Veg Assortment,9,53.77,Fratercula corniculata
Crab - Meat Combo,81,80.01,Bison bison
Wine - Sauvignon Blanc,95,83.33,Naja haje
"Soup - Cream Of Broccoli, Dry",57,64.18,Lemur fulvus
Flour - Bread,57,95.24,Falco mexicanus
Flower - Carnations,82,99.34,Grus antigone
Cheese - Victor Et Berthold,3,99.19,Cygnus atratus
Sour Puss Raspberry,94,85.97,Tamandua tetradactyla
Cleaner - Pine Sol,43,94.88,Dendrocitta vagabunda
"Water - Spring Water, 355 Ml",48,83.34,Bucephala clangula
Scallops - In Shell,61,68.74,Buteo jamaicensis
Lotus Root,94,9.68,Milvus migrans
Beer - Molson Excel,3,49.21,Cebus nigrivittatus
Cheese - Perron Cheddar,25,11.55,Butorides striatus
Juice - Lime,91,20.75,Paradoxurus hermaphroditus
Cinnamon Buns Sticky,50,94.56,Cereopsis novaehollandiae
Muffin Carrot - Individual,89,22.49,Psophia viridis
Table Cloth 54x72 White,42,46.11,Ammospermophilus nelsoni
Capers - Ox Eye Daisy,99,35.08,Phoeniconaias minor
Lobak,94,28.06,Stercorarius longicausus
"Wine - Magnotta, Merlot Sr Vqa",85,93.02,Felis caracal
"Pasta - Shells, Medium, Dry",94,71.97,Vanessa indica
"Juice - Orange, 341 Ml",48,34.83,Gymnorhina tibicen
Macaroons - Homestyle Two Bit,19,57.29,Aegypius tracheliotus
"Soup - French Onion, Dry",78,91.46,Eubalaena australis
"Artichoke - Bottom, Canned",54,93.58,Arctogalidia trivirgata
Triple Sec - Mcguinness,40,57.95,Mephitis mephitis
Rice - Basmati,54,87.32,Sarcorhamphus papa
"Soup - Knorr, Country Bean",7,26.65,Upupa epops
Plastic Wrap,87,87.1,Hyaena brunnea
"Wine - Red, Wolf Blass, Yellow",27,7.35,Rhea americana
"Squash - Pattypan, Yellow",91,38.8,Ovis dalli stonei
Broom Handle,80,89.66,Deroptyus accipitrinus
Flour - Pastry,32,20.62,Macropus agilis
Beef - Ground Medium,25,56.87,Merops nubicus
Parsley - Dried,68,45.77,Phalaropus fulicarius
Beer - Heinekin,94,69.98,Potos flavus
"Pasta - Shells, Medium, Dry",23,46.35,Recurvirostra avosetta
Olives - Morracan Dired,20,42.48,Cordylus giganteus
Maple Syrup,67,8.84,Oreamnos americanus
Cheese - Cambozola,30,34.54,Nasua nasua
Soap - Hand Soap,56,1.14,Laniaurius atrococcineus
Sugar Thermometer,60,46.77,Dipodomys deserti
"Pail - 15l White, With Handle",65,21.69,Petaurus norfolcensis
Plaintain,15,28.54,Manouria emys
Spinach - Spinach Leaf,73,94.07,Thalasseus maximus
"Stock - Veal, Brown",95,13.05,Dasyurus viverrinus
Tequila Rose Cream Liquor,17,81.78,Suricata suricatta
"Water - Spring Water, 355 Ml",36,18.43,Grus rubicundus
Lentils - Green Le Puy,36,25.83,Spermophilus armatus
"Coconut - Creamed, Pure",83,42.68,Lorythaixoides concolor
Wine - Ice Wine,3,14.86,Felis concolor
Scrubbie - Scotchbrite Hand Pad,21,30.49,Phalacrocorax brasilianus
Tomatoes - Yellow Hot House,96,25.21,Callipepla gambelii
Tea - Grapefruit Green Tea,87,34.94,Zalophus californicus
Tomatoes - Hot House,67,46.54,Aonyx cinerea
Sausage - Liver,84,77.61,Martes americana
Sage Ground Wiberg,8,61.78,Anathana ellioti
Bar - Sweet And Salty Chocolate,38,41.94,Ciconia ciconia
Pork - Bones,30,21.43,Stercorarius longicausus
Nantucket Orange Juice,77,7.06,Pelecanus conspicillatus
Cheese - Comte,50,2.23,Spheniscus magellanicus
"Oregano - Dry, Rubbed",65,97.88,Macropus rufogriseus
Wine - Touraine Azay - Le - Rideau,33,73.97,Mabuya spilogaster
"Vodka - Hot, Lnferno",77,25.83,Lasiodora parahybana
"Chicken - Thigh, Bone In",74,58.36,Callipepla gambelii
Chervil - Fresh,35,55.81,Thalasseus maximus
Sauce - Vodka Blush,89,99.02,Helogale undulata
Cheese - Cream Cheese,93,37.04,Otocyon megalotis
Godiva White Chocolate,67,71.63,Plegadis falcinellus
Pears - Bosc,79,76.03,Spheniscus magellanicus
Smirnoff Green Apple Twist,74,5.66,Junonia genoveua
Daikon Radish,24,30.65,Papio cynocephalus
"Wine - White, Cooking",80,92.42,Panthera leo
Red Cod Fillets - 225g,20,63.53,Cathartes aura
Pie Shell - 5,26,75.41,Irania gutteralis
Bread - Rosemary Focaccia,39,66.43,Estrilda erythronotos
"Cheese - Mozzarella, Buffalo",61,28.34,Hyaena hyaena
Shopper Bag - S - 4,67,68.58,Ctenophorus ornatus
Pastrami,9,55.53,Butorides striatus
Iced Tea Concentrate,54,70.16,Tamandua tetradactyla
Apple - Royal Gala,38,9.29,Loxodonta africana
Cotton Wet Mop 16 Oz,95,33.55,Morelia spilotes variegata
Cookie - Dough Variety,14,22.58,Grus rubicundus
Pie Shells 10,83,40.48,unavailable
Kippers - Smoked,43,16.28,Trichoglossus haematodus moluccanus
Broom And Brush Rack Black,57,35.43,Gymnorhina tibicen
"Bread - Roll, Soft White Round",78,41.27,Trichoglossus haematodus moluccanus
"Wine - Magnotta, White",87,9.54,Ovis ammon
"Wine - White, French Cross",40,38.67,Anas punctata
Flower - Carnations,27,86.01,Lemur catta
Beets - Golden,57,64.36,Dicrurus adsimilis
"Pepper - Chipotle, Canned",82,90.51,Iguana iguana
Chocolate - Sugar Free Semi Choc,10,90.94,Centrocercus urophasianus
Saskatoon Berries - Frozen,34,6.42,Lamprotornis nitens
Huck Towels White,34,15.43,Vulpes vulpes
Loquat,29,15.53,Canis aureus
"Wine - White, Pelee Island",63,80.56,Connochaetus taurinus
"Shrimp - Baby, Warm Water",57,56.03,Semnopithecus entellus
Curry Paste - Madras,18,10.19,unavailable
"Beans - Black Bean, Canned",1,87.67,Libellula quadrimaculata
"Carrots - Purple, Organic",81,17.36,Hippotragus equinus
Tamarind Paste,91,96.66,Ctenophorus ornatus
Pork - Bones,19,19.8,Spermophilus parryii
"Zucchini - Mini, Green",80,19.71,Uraeginthus granatina
Wine - Fat Bastard Merlot,27,48.84,Aegypius tracheliotus
Ostrich - Prime Cut,43,26.42,Cervus unicolor
Cheese - Pied De Vents,22,56.19,Sus scrofa
Water - San Pellegrino,53,13.45,Ovis canadensis
Muffin - Mix - Strawberry Rhubarb,92,4.63,Proteles cristatus
Pate Pans Yellow,66,43.67,Chlamydosaurus kingii
"Nestea - Ice Tea, Diet",73,39.82,Pteronura brasiliensis
Sole - Iqf,42,62.86,Felis rufus
Dc - Sakura Fu,58,80.86,Hippotragus equinus
Wine - Sawmill Creek Autumn,57,74.13,unavailable
Yeast Dry - Fleischman,98,82.33,Pteropus rufus
Cake - Miini Cheesecake Cherry,79,86.85,Hymenolaimus malacorhynchus
Wine - Remy Pannier Rose,83,38.41,Platalea leucordia
Tomatoes - Orange,3,29.0,Hydrochoerus hydrochaeris
Tea - Decaf Lipton,89,47.32,Halcyon smyrnesis
Bagels Poppyseed,36,99.83,Manouria emys
Lady Fingers,23,88.61,Ephipplorhynchus senegalensis
Longos - Chicken Curried,37,57.83,Gorilla gorilla
Quail Eggs - Canned,47,84.14,Creagrus furcatus
Towels - Paper / Kraft,4,98.17,Cracticus nigroagularis
"Loaf Pan - 2 Lb, Foil",96,82.16,Canis dingo
Pepper - Gypsy Pepper,37,8.82,Nyctanassa violacea
Bread Base - Gold Formel,98,51.49,Haliaetus vocifer
Irish Cream - Baileys,23,13.94,Semnopithecus entellus
Cabbage - Savoy,100,43.24,Cercopithecus aethiops
"Tabasco Sauce, 2 Oz",40,57.48,Anthropoides paradisea
Cheese - St. Paulin,78,42.67,Heloderma horridum
Caviar - Salmon,21,53.78,Ursus arctos
"Cheese - Brie, Triple Creme",54,35.06,Gekko gecko
Tuna - Yellowfin,68,36.06,Damaliscus lunatus
Shichimi Togarashi Peppeers,67,28.05,Lutra canadensis
Cheese - Goat With Herbs,38,78.42,Castor canadensis
Chocolate - Liqueur Cups With Foil,9,17.44,Isoodon obesulus
Toothpick Frilled,89,14.55,Semnopithecus entellus
Pear - Prickly,16,23.32,Vulpes vulpes
Corn Kernels - Frozen,91,92.64,Macropus rufogriseus
Wine La Vielle Ferme Cote Du,27,64.61,Hyaena brunnea
Plate Foam Laminated 9in Blk,66,10.25,Paroaria gularis
Ocean Spray - Ruby Red,70,35.37,Merops bullockoides
Lidsoupcont Rp12dn,77,63.14,Coluber constrictor
Clam - Cherrystone,21,68.25,Propithecus verreauxi
"Mushrooms - Black, Dried",48,8.0,Felis libyca
Pecan Raisin - Tarts,69,56.61,Ciconia ciconia
Blackberries,23,41.51,Dasypus septemcincus
Carrots - Mini Red Organic,33,8.56,Galago crassicaudataus
Sage - Ground,25,93.77,Lepus townsendii
Pepper - Scotch Bonnet,17,27.98,Chelodina longicollis
Cheese - Cambozola,97,60.2,Ourebia ourebi
Oxtail - Cut,15,79.61,Grus antigone
"Nut - Pecan, Pieces",90,76.09,Vanellus chilensis
Bread - English Muffin,45,51.54,Smithopsis crassicaudata
Onions - Red Pearl,86,52.56,Phalacrocorax carbo
Veal - Ground,18,13.34,Hippotragus niger
Milk 2% 500 Ml,7,56.16,Chelodina longicollis
"Water, Tap",87,27.21,Naja nivea
Sprouts - Peppercress,58,93.74,Tockus flavirostris
Shark - Loin,33,58.42,Lepus townsendii
Bread - Wheat Baguette,72,62.38,Bettongia penicillata
Tamarind Paste,76,1.49,Ciconia ciconia
"Jam - Marmalade, Orange",6,76.69,Macropus fuliginosus
Smirnoff Green Apple Twist,87,15.25,Pandon haliaetus
Ecolab - Balanced Fusion,79,12.34,Hymenolaimus malacorhynchus
Mudslide,23,74.24,Eunectes sp.
Bagelers,7,32.97,Tiliqua scincoides
Nestea - Iced Tea,82,5.34,Naja sp.
Lettuce - Boston Bib,35,92.4,Dipodomys deserti
Cake - French Pear Tart,73,78.31,Irania gutteralis
Beef Cheek Fresh,90,47.54,Sagittarius serpentarius
Creamers - 10%,33,65.83,Terathopius ecaudatus
Danishes - Mini Raspberry,99,61.05,Tachybaptus ruficollis
Watercress,61,9.25,Dasyurus maculatus
Fudge - Cream Fudge,27,93.9,Gekko gecko
Mousse - Passion Fruit,41,75.68,Ovis musimon
"Pork - Ham, Virginia",2,32.14,Ara chloroptera
Beer - Paulaner Hefeweisse,21,69.25,Pelecans onocratalus
Pineapple - Golden,59,47.98,Mycteria leucocephala
Pepper - Orange,65,39.34,Leprocaulinus vipera
Sugar - White Packet,91,4.92,Sagittarius serpentarius
Bread Roll Foccacia,76,42.23,Felis concolor
Beer - Mcauslan Apricot,47,14.59,Terrapene carolina
Kale - Red,56,13.44,Alligator mississippiensis
Swordfish Loin Portions,10,38.73,Buteo galapagoensis
Energy Drink Bawls,94,69.08,Kobus defassa
Veal - Leg,61,4.37,Semnopithecus entellus
Milkettes - 2%,82,68.22,Otocyon megalotis
Sugar - Invert,21,68.26,Lemur catta
Muffin Chocolate Individual Wrap,7,49.65,Agelaius phoeniceus
Soup - Campbells Beef Stew,72,28.3,Amazona sp.
Pepper - Gypsy Pepper,96,23.17,Eudyptula minor
Hinge W Undercut,51,77.0,Phalacrocorax brasilianus
Muffin Mix - Morning Glory,19,32.29,Heloderma horridum
Oil - Peanut,33,39.06,Crotalus cerastes
Pate Pans Yellow,68,39.74,Colaptes campestroides
Wine - Cave Springs Dry Riesling,76,11.73,Varanus salvator
"Pork - Back, Short Cut, Boneless",22,54.17,Butorides striatus
"Wine - White, Concha Y Toro",43,14.44,Larus fuliginosus
Peas - Frozen,98,64.41,Meles meles
Wine - Prosecco Valdobiaddene,66,87.62,Nannopterum harrisi
Steel Wool,71,74.38,Meles meles
Plate Foam Laminated 9in Blk,2,96.71,Grus canadensis
Cake - Lemon Chiffon,72,60.92,Helogale undulata
Pork - Inside,86,99.2,Corvus albicollis
"Pasta - Canelloni, Single Serve",78,5.14,Eira barbata
Longos - Greek Salad,33,21.09,Chlidonias leucopterus
Table Cloth - 53x69 Colour,59,84.81,Neotis denhami
Spice - Peppercorn Melange,75,25.44,Terrapene carolina
Arizona - Green Tea,61,75.79,Mungos mungo
Lemons,51,66.16,Neophoca cinerea
Cookies Almond Hazelnut,55,5.27,Prionace glauca
Papadam,11,71.44,Phalacrocorax niger
Potatoes - Parissienne,30,62.35,Semnopithecus entellus
"Lamb - Leg, Bone In",46,9.24,Ourebia ourebi
Chinese Foods - Cantonese,85,99.21,Ictalurus furcatus
Ice Cream Bar - Hagen Daz,41,54.4,Mellivora capensis
Olive - Spread Tapenade,98,63.79,Felis silvestris lybica
Yeast Dry - Fermipan,38,90.8,Melursus ursinus
Bandage - Flexible Neon,81,68.12,Globicephala melas
Rye Special Old,38,34.47,Psittacula krameri
Eel Fresh,45,11.5,Cracticus nigroagularis
Wine - Prosecco Valdobiaddene,19,86.25,Cacatua galerita
Lychee,33,51.08,Macropus fuliginosus
Melon - Watermelon Yellow,16,15.42,Funambulus pennati
Tomatoes - Roma,64,21.63,Catharacta skua
Wine - Rhine Riesling Wolf Blass,31,79.07,Gyps fulvus
"Ice - Clear, 300 Lb For Carving",3,95.62,Choloepus hoffmani
Dome Lid Clear P92008h,28,45.3,Lasiodora parahybana
Pastry - Lemon Danish - Mini,49,32.31,Ardea golieth
"Pepper - Green, Chili",100,46.07,Ictalurus furcatus
"Corn - Cream, Canned",2,5.46,Phascogale tapoatafa
"Yogurt - Cherry, 175 Gr",80,82.29,Anastomus oscitans
Nantucket - Pomegranate Pear,27,35.32,Cebus apella
"Cheese - Brie, Cups 125g",38,29.74,Anser anser
Wine - Dubouef Macon - Villages,80,56.51,Mirounga leonina
Wine - Chateauneuf Du Pape,62,26.66,Ardea golieth
"Carrots - Purple, Organic",51,90.84,Coracias caudata
Snails - Large Canned,62,2.86,Aegypius tracheliotus
Bread - Ciabatta Buns,82,84.13,Ardea cinerea
Almonds Ground Blanched,7,35.67,Chelodina longicollis
Bread - Raisin Walnut Oval,37,73.0,Macropus robustus
Bread - Kimel Stick Poly,27,56.55,Pavo cristatus
Pastry - Baked Cinnamon Stick,10,50.98,Pseudoleistes virescens
Nantuket Peach Orange,95,14.95,Limnocorax flavirostra
Foam Tray S2,36,54.73,Plectopterus gambensis
Beer - Heinekin,57,39.17,Corvus albicollis
The Pop Shoppe - Grape,79,41.19,Vanellus chilensis
Basil - Fresh,68,74.07,Cygnus atratus
Paper Towel Touchless,28,31.48,Sterna paradisaea
Dish Towel,42,35.92,Colobus guerza
"Wine - Red, Harrow Estates, Cab",62,52.49,Alligator mississippiensis
Figs,71,40.33,Agkistrodon piscivorus
Wine - Vidal Icewine Magnotta,63,60.32,Grus antigone
Mushroom - Lg - Cello,23,54.81,Eubalaena australis
Beef - Prime Rib Aaa,70,18.33,Bos taurus
"Soup - Canadian Pea, Dry Mix",29,65.18,Nectarinia chalybea
"Juice - Cranberry, 341 Ml",51,12.37,Stercorarius longicausus
Container Clear 8 Oz,78,56.45,Ephippiorhynchus mycteria
Beef - Tenderloin,18,25.37,Trichoglossus haematodus moluccanus
Salt - Sea,41,45.44,Ammospermophilus nelsoni
Rum - Mount Gay Eclipes,46,85.41,Hystrix cristata
Squid - U - 10 Thailand,21,56.49,Vulpes vulpes
Chicken Breast Wing On,57,29.59,Otaria flavescens
Pork - Backs - Boneless,66,80.8,Gymnorhina tibicen
Temperature Recording Station,58,50.5,Ciconia episcopus
Lettuce - Red Leaf,26,78.35,Actophilornis africanus
Tomatoes - Grape,47,49.55,Francolinus coqui
Juice - Ocean Spray Kiwi,86,49.18,Pytilia melba
Arctic Char - Fillets,91,58.98,Mycteria leucocephala
Wine - Guy Sage Touraine,20,70.55,Macropus giganteus
"Wine - White, French Cross",94,99.19,Cervus elaphus
"Oil - Truffle, White",59,9.5,Neophron percnopterus
Flower - Commercial Bronze,70,26.6,Philetairus socius
Wine - Prosecco Valdobienne,94,41.64,Zosterops pallidus
Cherries - Frozen,71,33.62,Cervus canadensis
Sprouts Dikon,2,77.76,Dasypus septemcincus
Soup - Verve - Chipotle Chicken,39,90.8,Alopex lagopus
Puff Pastry - Sheets,70,23.31,Fulica cristata
Energy - Boo - Koo,67,46.52,Stercorarius longicausus
Tea - Decaf 1 Cup,69,95.57,Capreolus capreolus
Wine - Sawmill Creek Autumn,95,38.96,Tiliqua scincoides
Coffee - Espresso,13,65.02,Centrocercus urophasianus
Pheasants - Whole,55,44.08,Cervus duvauceli
Mints - Striped Red,23,99.18,Bradypus tridactylus
Eel Fresh,49,16.59,Cynictis penicillata
Contreau,8,79.98,Colobus guerza
Puree - Blackcurrant,2,46.13,Felis caracal
"Bag - Bread, White, Plain",47,7.81,Panthera tigris
"Salsify, Organic",15,33.68,Nycticorax nycticorax
Wine - Delicato Merlot,6,53.1,Didelphis virginiana
Dc Hikiage Hira Huba,72,81.17,Theropithecus gelada
Beets - Pickled,68,28.61,Phoenicopterus ruber
Sour Puss - Tangerine,45,31.47,Tapirus terrestris
Blouse / Shirt / Sweater,91,31.13,Castor fiber
Creme De Banane - Marie,99,74.3,Canis lupus
Bread Base - Italian,17,28.94,unavailable
Tea - Green,2,31.67,Priodontes maximus
Beans - Yellow,23,70.92,Phalacrocorax niger
Cheese - Perron Cheddar,28,65.34,Bos taurus
Wood Chips - Regular,90,8.12,Geospiza sp.
Salmon - Canned,52,5.33,Rhea americana
Juice Peach Nectar,19,75.85,Dusicyon thous
"Plate - Foam, Bread And Butter",1,32.23,Cynictis penicillata
"Juice - Apple, 1.36l",3,96.19,Tachybaptus ruficollis
Tamarillo,74,45.9,Herpestes javanicus
Maintenance Removal Charge,31,2.24,Bison bison
